band;album;song;aggregated_word;source;word;count
999;13th Floor Madness;13th Floor Madness;asshole;static;ass;17
999;13th Floor Madness;13th Floor Madness;bastard;static;debil;2
999;13th Floor Madness;13th Floor Madness;damn;static;hell;3
999;13th Floor Madness;Custer's Last Stand;shit;static;crap;3
999;13th Floor Madness;Don't Want You Back;damn;llm;damn;1
999;13th Floor Madness;Don't Want You Back;shit;llm;shit;1
999;13th Floor Madness;Looking Like You Do;asshole;static;ass;4
999;13th Floor Madness;Looking Like You Do;bitch;static;bitch;9
999;13th Floor Madness;Looking Like You Do;fuck;static;fuck;4
999;13th Floor Madness;Looking Like You Do;shit;static;shit;4
999;13th Floor Madness;Night Shift;asshole;static;ass;1
999;13th Floor Madness;Night Shift;damn;static;damn;5
999;13th Floor Madness;Night Shift;fuck;static;fuck;5
999;13th Floor Madness;Night Shift;shit;static;shit;8
999;13th Floor Madness;Use Your Imagination;asshole;static;pic;1
999;999;Crazy;damn;static;hell;4
999;999;Emergency;violence;llm;bloody;1
999;999;I’m Alive;shit;llm;shit;1
999;999;No Pity;fuck;llm;fuck;1
999;999;No Pity;shit;llm;shit;1
999;999;Pick It Up;asshole;static;pic;1
999;999;Pick It Up;fuck;static;fuck;2
999;Bish! Bash! Bosh!;Addicted;asshole;static;ass;2
999;Bish! Bash! Bosh!;Addicted;bitch;static;bitch;1
999;Bish! Bash! Bosh!;Addicted;damn;static;damn;6
999;Bish! Bash! Bosh!;Addicted;fuck;static;fuck;5
999;Bish! Bash! Bosh!;Addicted;shit;static;shit;5
999;Bish! Bash! Bosh!;Crazy Tuesday World;asshole;static;ass;66
999;Bish! Bash! Bosh!;Crazy Tuesday World;bastard;static;bastard;3
999;Bish! Bash! Bosh!;Crazy Tuesday World;bitch;static;bitch;134
999;Bish! Bash! Bosh!;Crazy Tuesday World;damn;static;damn;35
999;Bish! Bash! Bosh!;Crazy Tuesday World;fuck;static;fuck;138
999;Bish! Bash! Bosh!;Crazy Tuesday World;other;static;piss;2
999;Bish! Bash! Bosh!;Crazy Tuesday World;shit;static;shit;162
999;Bish! Bash! Bosh!;Doctor Nick;asshole;static;dick;1
999;Bish! Bash! Bosh!;Doctor Nick;bitch;static;bitch;7
999;Bish! Bash! Bosh!;Doctor Nick;damn;static;damn;2
999;Bish! Bash! Bosh!;Doctor Nick;fuck;static;fuck;4
999;Bish! Bash! Bosh!;Doctor Nick;shit;llm;shit;1
999;Bish! Bash! Bosh!;Don’t Start a Fight;asshole;static;pic;1
999;Bish! Bash! Bosh!;Don’t Start a Fight;damn;static;hell;1
999;Bish! Bash! Bosh!;Don’t Start a Fight;fuck;llm;fuck;1
999;Bish! Bash! Bosh!;Don’t Start a Fight;shit;llm;shit;1
999;Bish! Bash! Bosh!;Don’t Wanna Know;fuck;static;fuck;6
999;Bish! Bash! Bosh!;Don’t Wanna Know;shit;llm;shit;1
999;Bish! Bash! Bosh!;I Hate It All;fuck;llm;fuck;1
999;Bish! Bash! Bosh!;I Hate It All;shit;static;shit;4
999;Bish! Bash! Bosh!;Monkey;bitch;static;bitch;7
999;Bish! Bash! Bosh!;Monkey;damn;llm;damn;1
999;Bish! Bash! Bosh!;Monkey;fuck;static;fuck;6
999;Bish! Bash! Bosh!;My Dad Trashed My Submarine;asshole;static;ass;13
