band;album;song;source;word;count;aggregated_word
A bude hůř;Basket;Sex před zraky krista;llm;fuck;;fuck
A bude hůř;Basket;Sněhurka;llm;fuck;;fuck
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;static;shit;1;shit
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;static;pic;1;asshole
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;llm;shit;;shit
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nech si ty klíny;llm;držku;;other
A bude hůř;Kdo chce zapalovat, musí sám hořet;Očistcem;static;sra;3;shit
A bude hůř;Kdo chce zapalovat, musí sám hořet;Paintball;static;svin;1;bitch
A bude hůř;Kopry!;Bez práce;llm;fuck;;fuck
A bude hůř;Kopry!;Bez práce;llm;shit;;shit
A bude hůř;Kopry!;Bílá myš;static;prdel;4;asshole
A bude hůř;Kopry!;Bílá myš;llm;prdel;;asshole
A bude hůř;Kopry!;Blede vize;static;kráv;1;bitch
A bude hůř;Kopry!;Blede vize;static;sra;1;shit
A bude hůř;Kopry!;Blede vize;llm;nasrat;;shit
A bude hůř;Kopry!;Co je láska;llm;fuck;;fuck
A bude hůř;Kopry!;Co je láska;llm;shit;;shit
A bude hůř;Kopry!;Co je láska;llm;bastard;;bastard
A bude hůř;Kopry!;Mráz;static;ass;15;asshole
A bude hůř;Kopry!;Nechci Tě líbat;static;svin;3;bitch
A bude hůř;Kopry!;Nechci Tě líbat;llm;fuck;;fuck
A bude hůř;Kopry!;Óda na radost;static;sra;9;shit
A bude hůř;Kopry!;Óda na radost;static;prdel;4;asshole
A bude hůř;Kopry!;Óda na radost;llm;shit;;shit
A bude hůř;Kopry!;Óda na radost;llm;asshole;;asshole
A bude hůř;Kopry!;Óda na radost;llm;hell;;damn
A bude hůř;Kopry!;Popadni sekeru;static;svin;2;bitch
A bude hůř;Kopry!;Popadni sekeru;static;prdel;4;asshole
A bude hůř;Kopry!;Popadni sekeru;llm;fuck;;fuck
A bude hůř;Kopry!;Posázavský Pacifik;static;svin;1;bitch
A bude hůř;Kopry!;Posázavský Pacifik;llm;fuck;;fuck
A bude hůř;Kopry!;Posázavský Pacifik;llm;shit;;shit
A bude hůř;Kopry!;Posázavský Pacifik;llm;bitch;;bitch
A bude hůř;Kopry!;Posázavský Pacifik;llm;asshole;;asshole
A bude hůř;Kopry!;Posázavský Pacifik;llm;bastard;;bastard
A bude hůř;Kopry!;Posázavský Pacifik;llm;damn;;damn
A bude hůř;Kopry!;Posázavský Pacifik;llm;hell;;damn
A bude hůř;Kopry!;Posázavský Pacifik;llm;crap;;shit
A bude hůř;Kopry!;Posázavský Pacifik;llm;cunt;;asshole
A bude hůř;Kopry!;Posázavský Pacifik;llm;motherfucker;;fuck
A bude hůř;Kopry!;Vyznání;static;fuck;1;fuck
A bude hůř;Kopry!;Vyznání;static;prdel;2;asshole
A bude hůř;Kopry!;Vyznání;static;píč;2;asshole
A bude hůř;Kopry!;Vyznání;llm;fuck;;fuck
A bude hůř;Kopry!;Vyznání;llm;shit;;shit
A bude hůř;Kopry!;Vyznání;llm;bitch;;bitch
A bude hůř;Strana B;Problitý Století;static;hajzl;1;asshole
A bude hůř;Strana B;Problitý Století;static;prdel;1;asshole
A bude hůř;Strana B;Problitý Století;static;sra;1;shit
A bude hůř;Strana B;Problitý Století;llm;fuck;;fuck
A bude hůř;Strana B;Problitý Století;llm;shit;;shit
A bude hůř;Strana B;Problitý Století;llm;bastard;;bastard
A bude hůř;Strana B;Problitý Století;llm;hell;;damn
A bude hůř;Velitel je žena;Báseň o Jelitmanu;llm;piče;;asshole
A bude hůř;Velitel je žena;Jamajka Lajka;llm;kuráž;;other
A bude hůř;Velitel je žena;Pětikačka;static;kurv;1;fuck
A bude hůř;Velitel je žena;Pětikačka;static;hajzl;1;asshole
A bude hůř;Velitel je žena;Pětikačka;static;prdel;1;asshole
A bude hůř;Velitel je žena;Pětikačka;static;svin;1;bitch
A bude hůř;Velitel je žena;Pětikačka;llm;fuck;;fuck
A bude hůř;Velitel je žena;Pětikačka;llm;shit;;shit
A bude hůř;Velitel je žena;Pětikačka;llm;damn;;damn
A bude hůř;Velitel je žena;Pod jezevčí skálou;static;kurv;1;fuck
A bude hůř;Velitel je žena;Pod jezevčí skálou;llm;kurva;;fuck
A bude hůř;Velitel je žena;Popsong;static;zmrd;2;fuck
A bude hůř;Velitel je žena;Popsong;static;kurv;1;fuck
A bude hůř;Velitel je žena;Popsong;llm;kurva;;fuck
A bude hůř;Velitel je žena;Ryby;static;prdel;6;asshole
A bude hůř;Velitel je žena;Ryby;llm;vprdeli;;asshole
A bude hůř;Velitel je žena;Tramvaják;llm;zatraceně;;damn
A bude hůř;Velitel je žena;Tři zmrzlíci;static;sra;1;shit
A bude hůř;Velitel je žena;Tři zmrzlíci;static;kráv;1;bitch
A bude hůř;Velitel je žena;Tři zmrzlíci;static;pic;2;asshole
A bude hůř;Velitel je žena;Tři zmrzlíci;llm;shit;;shit
A bude hůř;Velitel je žena;Tři zmrzlíci;llm;bitch;;bitch
A bude hůř;Velitel je žena;Vladko A Miško;static;kokot;1;asshole
A bude hůř;Velitel je žena;Vladko A Miško;llm;kokotov;;asshole
A bude hůř;Velitel je žena;Život Je Fajn;llm;řit;;asshole
A bude hůř;Velitel je žena;Zkouřená Máňa;static;kráv;2;bitch
A bude hůř;Velitel je žena;Zkouřená Máňa;llm;fuck;;fuck
A bude hůř;Velitel je žena;Zkouřená Máňa;llm;shit;;shit
A bude hůř;Vovar mezi uschima;Bez práce;llm;fuck;;fuck
A bude hůř;Vovar mezi uschima;Blede vize;static;kráv;1;bitch
A bude hůř;Vovar mezi uschima;Blede vize;static;sra;1;shit
A bude hůř;Vovar mezi uschima;Blede vize;llm;vůl;;idiot
A bude hůř;Vovar mezi uschima;Blede vize;llm;nasrat;;shit
A bude hůř;Vovar mezi uschima;Po sté zas;llm;rouhám;;other
A bude hůř;Vovar mezi uschima;Porno On The Vlachovka;llm;shit;;shit
A bude hůř;Vovar mezi uschima;Proti Všem?;llm;blbej;;idiot
A bude hůř;Vovar mezi uschima;Sledujeme TV;static;pic;2;asshole
A bude hůř;Vovar mezi uschima;Sledujeme TV;static;prdel;1;asshole
A bude hůř;Vovar mezi uschima;Sledujeme TV;llm;shit;;shit
A bude hůř;Vovar mezi uschima;Sledujeme TV;llm;asshole;;asshole
A bude hůř;Vovar mezi uschima;Sledujeme TV;llm;hell;;damn
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;static;pic;1;asshole
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;llm;fuck;;fuck
A bude hůř;Vovar mezi uschima;Unesli Jsme Letadlo;llm;fuck;;fuck
A bude hůř;Vovar mezi uschima;Vlk V Ovčíně;static;kurv;1;fuck
A bude hůř;Vovar mezi uschima;Vlk V Ovčíně;llm;kurva;;fuck
A bude hůř;Vovar mezi uschima;Za Minimální Peníz Jak Zvětšit Si Svůj Penis;llm;fuck;;fuck
A bude hůř;Vovar mezi uschima;Za Minimální Peníz Jak Zvětšit Si Svůj Penis;llm;shit;;shit
Čertůf punk;Fucking World;Blind street;llm;fuck;;fuck
Čertůf punk;Fucking World;Blind street;llm;shit;;shit
Čertůf punk;Fucking World;Brutal world;llm;fuck;;fuck
Čertůf punk;Fucking World;Fucking Country;static;hajzl;1;asshole
Čertůf punk;Fucking World;Fucking Country;llm;fuck;;fuck
Čertůf punk;Fucking World;Jesus is dead;llm;fuck;;fuck
Čertůf punk;Fucking World;Loutka;static;debil;1;bastard
Čertůf punk;Fucking World;Loutka;static;svin;1;bitch
Čertůf punk;Fucking World;Loutka;llm;fuck;;fuck
Čertůf punk;Fucking World;Parlament;static;svin;4;bitch
Čertůf punk;Fucking World;Parlament;static;sra;1;shit
Čertůf punk;Fucking World;Parlament;llm;fuck;;fuck
Čertůf punk;Fucking World;Parlament;llm;shit;;shit
Čertůf punk;Fucking World;Parlament;llm;asshole;;asshole
Čertůf punk;Fucking World;Parlament;llm;damn;;damn
Čertůf punk;Fucking World;Parlament;llm;hell;;damn
Čertůf punk;Fucking World;Parlament;llm;crap;;shit
Čertůf punk;Fucking World;Stupid army dream;static;svin;1;bitch
Čertůf punk;Fucking World;Stupid army dream;llm;fuck;;fuck
Čertůf punk;Fucking World;Válka;llm;fuck;;fuck
Čertůf punk;Fucking World;Varieté;llm;shit;;shit
