band;album;song;emotion
A bude hůř;Basket;Basket;anger
A bude hůř;Basket;Basket;aggression
A bude hůř;Basket;Basket;frustration
A bude hůř;Basket;Kup Rum;sadness
A bude hůř;Basket;Kup Rum;frustration
A bude hůř;Basket;Kup Rum;hopelessness
A bude hůř;Basket;Pro šibenici rostou;anger
A bude hůř;Basket;Pro šibenici rostou;frustration
A bude hůř;Basket;Pro šibenici rostou;hopelessness
A bude hůř;Basket;Pro šibenici rostou;aggression
A bude hůř;Basket;Sex před zraky krista;anger
A bude hůř;Basket;Sex před zraky krista;frustration
A bude hůř;Basket;Sex před zraky krista;aggression
A bude hůř;Basket;Sněhulák;frustration
A bude hůř;Basket;Sněhulák;hopelessness
A bude hůř;Basket;Sněhulák;anger
A bude hůř;Basket;Sněhurka;sadness
A bude hůř;Basket;Sněhurka;hopelessness
A bude hůř;Basket;Sněhurka;anger
A bude hůř;Basket;Sněhurka;frustration
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;anger
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;frustration
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;aggression
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nech si ty klíny;anger
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nech si ty klíny;frustration
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nech si ty klíny;aggression
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nemocnice na kraji města;sadness
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nemocnice na kraji města;frustration
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nemocnice na kraji města;hopelessness
A bude hůř;Kdo chce zapalovat, musí sám hořet;Očistcem;anger
A bude hůř;Kdo chce zapalovat, musí sám hořet;Očistcem;sadness
A bude hůř;Kdo chce zapalovat, musí sám hořet;Očistcem;hopelessness
A bude hůř;Kdo chce zapalovat, musí sám hořet;Očistcem;aggression
A bude hůř;Kdo chce zapalovat, musí sám hořet;Paintball;anger
A bude hůř;Kdo chce zapalovat, musí sám hořet;Paintball;frustration
A bude hůř;Kdo chce zapalovat, musí sám hořet;Paintball;hopelessness
A bude hůř;Kdo chce zapalovat, musí sám hořet;Ústavní blues;sadness
A bude hůř;Kdo chce zapalovat, musí sám hořet;Ústavní blues;frustration
A bude hůř;Kdo chce zapalovat, musí sám hořet;Ústavní blues;hopelessness
A bude hůř;Kopry!;Bez práce;anger
A bude hůř;Kopry!;Bez práce;frustration
A bude hůř;Kopry!;Bez práce;hopelessness
A bude hůř;Kopry!;Bílá myš;frustration
A bude hůř;Kopry!;Bílá myš;anger
A bude hůř;Kopry!;Blede vize;anger
A bude hůř;Kopry!;Blede vize;frustration
A bude hůř;Kopry!;Blede vize;hopelessness
A bude hůř;Kopry!;Blede vize;sadness
A bude hůř;Kopry!;Co je láska;anger
A bude hůř;Kopry!;Co je láska;frustration
A bude hůř;Kopry!;Co je láska;irony
A bude hůř;Kopry!;Co je láska;sarcasm
A bude hůř;Kopry!;Mráz;frustration
A bude hůř;Kopry!;Mráz;hopelessness
A bude hůř;Kopry!;Mráz;confidence
A bude hůř;Kopry!;Nechci Tě líbat;anger
A bude hůř;Kopry!;Nechci Tě líbat;frustration
A bude hůř;Kopry!;Neříkej mi holka;confidence
A bude hůř;Kopry!;Neříkej mi holka;aggression
A bude hůř;Kopry!;Neříkej mi holka;frustration
A bude hůř;Kopry!;Óda na radost;joy
A bude hůř;Kopry!;Óda na radost;frustration
A bude hůř;Kopry!;Óda na radost;irony
A bude hůř;Kopry!;Paradoxy;hopelessness
A bude hůř;Kopry!;Paradoxy;frustration
A bude hůř;Kopry!;Popadni sekeru;anger
A bude hůř;Kopry!;Popadni sekeru;frustration
A bude hůř;Kopry!;Popadni sekeru;aggression
A bude hůř;Kopry!;Popadni sekeru;hopelessness
A bude hůř;Kopry!;Posázavský Pacifik;joy
A bude hůř;Kopry!;Posázavský Pacifik;frustration
A bude hůř;Kopry!;Posázavský Pacifik;irony
A bude hůř;Kopry!;Vlakem;joy
A bude hůř;Kopry!;Vlakem;confidence
A bude hůř;Kopry!;Vyznání;frustration
A bude hůř;Kopry!;Vyznání;irony
A bude hůř;Kopry!;Vyznání;aggression
A bude hůř;Strana B;Problitý Století;anger
A bude hůř;Strana B;Problitý Století;frustration
A bude hůř;Strana B;Problitý Století;hopelessness
A bude hůř;Velitel je žena;Anděl Strážnej;sadness
A bude hůř;Velitel je žena;Anděl Strážnej;frustration
A bude hůř;Velitel je žena;Anděl Strážnej;hopelessness
A bude hůř;Velitel je žena;Báseň o Jelitmanu;anger
A bude hůř;Velitel je žena;Báseň o Jelitmanu;frustration
A bude hůř;Velitel je žena;Báseň o Jelitmanu;irony
A bude hůř;Velitel je žena;Báseň o Jelitmanu;aggression
A bude hůř;Velitel je žena;Fatality;anger
A bude hůř;Velitel je žena;Fatality;hopelessness
A bude hůř;Velitel je žena;Fatality;aggression
A bude hůř;Velitel je žena;Funky Hoňky;frustration
A bude hůř;Velitel je žena;Funky Hoňky;joy
A bude hůř;Velitel je žena;Funky Hoňky;hopelessness
A bude hůř;Velitel je žena;Funky Hoňky;confidence
A bude hůř;Velitel je žena;Funky Hoňky;irony
A bude hůř;Velitel je žena;Jamajka Lajka;hopelessness
A bude hůř;Velitel je žena;Jamajka Lajka;irony
A bude hůř;Velitel je žena;Jamajka Lajka;fear
A bude hůř;Velitel je žena;Kouzelník;confidence
A bude hůř;Velitel je žena;Kouzelník;irony
A bude hůř;Velitel je žena;Kouzelník;frustration
A bude hůř;Velitel je žena;Pětikačka;frustration
A bude hůř;Velitel je žena;Pětikačka;anger
A bude hůř;Velitel je žena;Pětikačka;irony
A bude hůř;Velitel je žena;Pětikačka;hopelessness
A bude hůř;Velitel je žena;Pod jezevčí skálou;frustration
A bude hůř;Velitel je žena;Pod jezevčí skálou;alienation
A bude hůř;Velitel je žena;Popsong;anger
A bude hůř;Velitel je žena;Popsong;irony
A bude hůř;Velitel je žena;Popsong;aggression
A bude hůř;Velitel je žena;Popsong;confidence
A bude hůř;Velitel je žena;Převrátíme svět;anger
A bude hůř;Velitel je žena;Převrátíme svět;frustration
A bude hůř;Velitel je žena;Převrátíme svět;hopelessness
A bude hůř;Velitel je žena;Převrátíme svět;aggression
A bude hůř;Velitel je žena;Ryby;frustration
A bude hůř;Velitel je žena;Ryby;irony
A bude hůř;Velitel je žena;Ryby;sarcasm
A bude hůř;Velitel je žena;Skejt Dejf;irony
A bude hůř;Velitel je žena;Skejt Dejf;sarcasm
A bude hůř;Velitel je žena;Tramvaják;anger
A bude hůř;Velitel je žena;Tramvaják;frustration
A bude hůř;Velitel je žena;Tramvaják;hopelessness
A bude hůř;Velitel je žena;Tramvaják;irony
A bude hůř;Velitel je žena;Tři zmrzlíci;frustration
A bude hůř;Velitel je žena;Tři zmrzlíci;joy
A bude hůř;Velitel je žena;Vladko A Miško;anger
A bude hůř;Velitel je žena;Vladko A Miško;frustration
A bude hůř;Velitel je žena;Život Je Fajn;sadness
A bude hůř;Velitel je žena;Život Je Fajn;hopelessness
A bude hůř;Velitel je žena;Život Je Fajn;irony
A bude hůř;Velitel je žena;Zkouřená Máňa;irony
A bude hůř;Velitel je žena;Zkouřená Máňa;sarcasm
A bude hůř;Velitel je žena;Zkouřená Máňa;joy
A bude hůř;Vovar mezi uschima;Bez práce;anger
A bude hůř;Vovar mezi uschima;Bez práce;frustration
A bude hůř;Vovar mezi uschima;Bez práce;hopelessness
A bude hůř;Vovar mezi uschima;Bez práce;aggression
A bude hůř;Vovar mezi uschima;Blede vize;frustration
A bude hůř;Vovar mezi uschima;Blede vize;hopelessness
A bude hůř;Vovar mezi uschima;Blede vize;anger
A bude hůř;Vovar mezi uschima;Bobkový Song;hopelessness
A bude hůř;Vovar mezi uschima;Bobkový Song;frustration
A bude hůř;Vovar mezi uschima;Po sté zas;anger
A bude hůř;Vovar mezi uschima;Po sté zas;frustration
A bude hůř;Vovar mezi uschima;Po sté zas;sadness
A bude hůř;Vovar mezi uschima;Porno On The Vlachovka;anger
A bude hůř;Vovar mezi uschima;Porno On The Vlachovka;frustration
A bude hůř;Vovar mezi uschima;Porno On The Vlachovka;irony
A bude hůř;Vovar mezi uschima;Předvolební;anger
A bude hůř;Vovar mezi uschima;Předvolební;irony
A bude hůř;Vovar mezi uschima;Předvolební;frustration
A bude hůř;Vovar mezi uschima;Předvolební;hopelessness
A bude hůř;Vovar mezi uschima;Proti Všem?;anger
