band;album;song;entity;type
A bude hůř;Basket;Basket;Paula Simona;person
A bude hůř;Basket;Basket;Továrna;location
A bude hůř;Basket;Basket;Racob;location
A bude hůř;Basket;Sex před zraky krista;Kristus;person
A bude hůř;Basket;Sex před zraky krista;pátery;person
A bude hůř;Basket;Sex před zraky krista;klášteře;location
A bude hůř;Basket;Sex před zraky krista;kostely;location
A bude hůř;Basket;Sex před zraky krista;Máňa;girl_name
A bude hůř;Basket;Sněhurka;princ;person
A bude hůř;Basket;Sněhurka;hospoda;location
A bude hůř;Basket;Sněhurka;výčepák;location
A bude hůř;Basket;Sněhurka;Sněhurka;girl_name
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;junák;person
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;múza;person
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;bar;location
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;holka má;girl_name
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nemocnice na kraji města;primář Sova;person
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nemocnice na kraji města;nemocnice;location
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nemocnice na kraji města;ordinaci;location
A bude hůř;Kopry!;Blede vize;žena;person
A bude hůř;Kopry!;Blede vize;kopcem;location
A bude hůř;Kopry!;Blede vize;ulicích;location
A bude hůř;Kopry!;Blede vize;lese;location
A bude hůř;Kopry!;Blede vize;horách;location
A bude hůř;Kopry!;Mráz;jih;location
A bude hůř;Kopry!;Posázavský Pacifik;Karel Zich;person
A bude hůř;Kopry!;Posázavský Pacifik;Honza Nedvědů;person
A bude hůř;Kopry!;Posázavský Pacifik;Jarda;person
A bude hůř;Kopry!;Posázavský Pacifik;Fanda;person
A bude hůř;Kopry!;Posázavský Pacifik;Posázavským pacifikem;location
A bude hůř;Kopry!;Vlakem;Poprad;location
A bude hůř;Kopry!;Vyznání;Čečensko;location
A bude hůř;Kopry!;Vyznání;Blesk;location
A bude hůř;Kopry!;Vyznání;Hanka;girl_name
A bude hůř;Velitel je žena;Báseň o Jelitmanu;Jelitman;person
A bude hůř;Velitel je žena;Fatality;ulice;location
A bude hůř;Velitel je žena;Jamajka Lajka;Jamajka;location
A bude hůř;Velitel je žena;Pětikačka;Pavel Klíma;person
A bude hůř;Velitel je žena;Pětikačka;Lubor Maťa;person
A bude hůř;Velitel je žena;Pětikačka;Otik;person
A bude hůř;Velitel je žena;Pod jezevčí skálou;Tomáš;person
A bude hůř;Velitel je žena;Pod jezevčí skálou;jezevčí skála;location
A bude hůř;Velitel je žena;Popsong;máma;person
A bude hůř;Velitel je žena;Popsong;Ema;girl_name
A bude hůř;Velitel je žena;Převrátíme svět;Gagarin;person
A bude hůř;Velitel je žena;Převrátíme svět;Lajka;person
