band;album;song;source;word;count
A bude hůř;Basket;Sex před zraky krista;llm;fuck;
A bude hůř;Basket;Sněhurka;llm;fuck;
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;static;shit;1
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;static;pic;1
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;llm;shit;
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nech si ty klíny;llm;držku;
A bude hůř;Kdo chce zapalovat, musí sám hořet;Očistcem;static;sra;3
A bude hůř;Kdo chce zapalovat, musí sám hořet;Paintball;static;svin;1
A bude hůř;Kopry!;Bez práce;llm;fuck;
A bude hůř;Kopry!;Bez práce;llm;shit;
A bude hůř;Kopry!;Bílá myš;static;prdel;4
A bude hůř;Kopry!;Bílá myš;llm;prdel;
A bude hůř;Kopry!;Blede vize;static;kráv;1
A bude hůř;Kopry!;Blede vize;static;sra;1
A bude hůř;Kopry!;Blede vize;llm;nasrat;
A bude hůř;Kopry!;Co je láska;llm;fuck;
A bude hůř;Kopry!;Co je láska;llm;shit;
A bude hůř;Kopry!;Co je láska;llm;bastard;
A bude hůř;Kopry!;Mráz;static;ass;15
A bude hůř;Kopry!;Nechci Tě líbat;static;svin;3
A bude hůř;Kopry!;Nechci Tě líbat;llm;fuck;
A bude hůř;Kopry!;Óda na radost;static;sra;9
A bude hůř;Kopry!;Óda na radost;static;prdel;4
A bude hůř;Kopry!;Óda na radost;llm;shit;
A bude hůř;Kopry!;Óda na radost;llm;asshole;
A bude hůř;Kopry!;Óda na radost;llm;hell;
A bude hůř;Kopry!;Popadni sekeru;static;svin;2
A bude hůř;Kopry!;Popadni sekeru;static;prdel;4
A bude hůř;Kopry!;Popadni sekeru;llm;fuck;
A bude hůř;Kopry!;Posázavský Pacifik;static;svin;1
A bude hůř;Kopry!;Posázavský Pacifik;llm;fuck;
A bude hůř;Kopry!;Posázavský Pacifik;llm;shit;
A bude hůř;Kopry!;Posázavský Pacifik;llm;bitch;
A bude hůř;Kopry!;Posázavský Pacifik;llm;asshole;
A bude hůř;Kopry!;Posázavský Pacifik;llm;bastard;
A bude hůř;Kopry!;Posázavský Pacifik;llm;damn;
A bude hůř;Kopry!;Posázavský Pacifik;llm;hell;
A bude hůř;Kopry!;Posázavský Pacifik;llm;crap;
A bude hůř;Kopry!;Posázavský Pacifik;llm;cunt;
A bude hůř;Kopry!;Posázavský Pacifik;llm;motherfucker;
A bude hůř;Kopry!;Vyznání;static;fuck;1
A bude hůř;Kopry!;Vyznání;static;prdel;2
A bude hůř;Kopry!;Vyznání;static;píč;2
A bude hůř;Kopry!;Vyznání;llm;fuck;
A bude hůř;Kopry!;Vyznání;llm;shit;
A bude hůř;Kopry!;Vyznání;llm;bitch;
A bude hůř;Strana B;Problitý Století;static;hajzl;1
A bude hůř;Strana B;Problitý Století;static;prdel;1
A bude hůř;Strana B;Problitý Století;static;sra;1
A bude hůř;Strana B;Problitý Století;llm;fuck;
