band;album;song;substance
A bude hůř;Basket;Kup Rum;rum
A bude hůř;Basket;Sněhurka;heroin
A bude hůř;Basket;Sněhurka;alcohol
A bude hůř;Basket;Sněhurka;beer
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;weed
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;alcohol
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nech si ty klíny;alcohol
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nemocnice na kraji města;alcohol
A bude hůř;Kdo chce zapalovat, musí sám hořet;Očistcem;opium
A bude hůř;Kopry!;Bez práce;alcohol
A bude hůř;Kopry!;Blede vize;alcohol
A bude hůř;Kopry!;Co je láska;beer
A bude hůř;Kopry!;Co je láska;alcohol
A bude hůř;Kopry!;Mráz;alcohol
A bude hůř;Kopry!;Mráz;weed
A bude hůř;Kopry!;Nechci Tě líbat;alcohol
A bude hůř;Kopry!;Neříkej mi holka;alcohol
A bude hůř;Kopry!;Óda na radost;weed
A bude hůř;Kopry!;Óda na radost;alcohol
A bude hůř;Kopry!;Posázavský Pacifik;rum
A bude hůř;Kopry!;Posázavský Pacifik;weed
A bude hůř;Kopry!;Posázavský Pacifik;alcohol
A bude hůř;Kopry!;Vlakem;alcohol
A bude hůř;Kopry!;Vyznání;alcohol
A bude hůř;Strana B;Problitý Století;alcohol
A bude hůř;Velitel je žena;Anděl Strážnej;vodka
A bude hůř;Velitel je žena;Báseň o Jelitmanu;fernet
A bude hůř;Velitel je žena;Báseň o Jelitmanu;kouř
A bude hůř;Velitel je žena;Fatality;alcohol
A bude hůř;Velitel je žena;Funky Hoňky;alcohol
A bude hůř;Velitel je žena;Pětikačka;alcohol
A bude hůř;Velitel je žena;Popsong;pivo
A bude hůř;Velitel je žena;Popsong;alcohol
A bude hůř;Velitel je žena;Převrátíme svět;vodka
A bude hůř;Velitel je žena;Převrátíme svět;alcohol
A bude hůř;Velitel je žena;Skejt Dejf;alcohol
A bude hůř;Velitel je žena;Tramvaják;alcohol
A bude hůř;Velitel je žena;Tramvaják;weed
A bude hůř;Velitel je žena;Tramvaják;fetovali
A bude hůř;Velitel je žena;Tři zmrzlíci;alcohol
A bude hůř;Velitel je žena;Tři zmrzlíci;weed
A bude hůř;Velitel je žena;Zkouřená Máňa;weed
A bude hůř;Velitel je žena;Zkouřená Máňa;marijuana
A bude hůř;Vovar mezi uschima;Bez práce;alcohol
A bude hůř;Vovar mezi uschima;Blede vize;alcohol
A bude hůř;Vovar mezi uschima;Po sté zas;alcohol
A bude hůř;Vovar mezi uschima;Po sté zas;beer
A bude hůř;Vovar mezi uschima;Porno On The Vlachovka;alcohol
A bude hůř;Vovar mezi uschima;Porno On The Vlachovka;weed
A bude hůř;Vovar mezi uschima;Proti Všem?;drugs
A bude hůř;Vovar mezi uschima;Sledujeme TV;weed
A bude hůř;Vovar mezi uschima;Sledujeme TV;alcohol
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;alcohol
A bude hůř;Vovar mezi uschima;Světlana;rohypnol
A bude hůř;Vovar mezi uschima;Světlana;alcohol
A bude hůř;Vovar mezi uschima;Unesli Jsme Letadlo;alcohol
A bude hůř;Vovar mezi uschima;Unesli Jsme Letadlo;drugs
Čertůf punk;Stejnej bordel;Práce - Fuck Off;alcohol
Čertůf punk;Stejnej bordel;Školení;alcohol
Čertůf punk;Stejnej bordel;Školení;beer
Čertůf punk;Stejnej bordel;Styll;beer
Čertůf punk;Stejnej bordel;Styll;alcohol
Čertůf punk;Stejnej bordel;Zabíjící;alcohol
Čertůf punk;Stejnej bordel;Zamrdej si;weed
Čertůf punk;Stejnej bordel;Zamrdej si;pills
Civilní Obrana;Holku pevnou mít;Holku Pevnou Mít;alcohol
Civilní Obrana;Já, Civilka;Opilá Princezna;alcohol
Civilní Obrana;Já, Civilka;To Dokáže Chlap;alcohol
Civilní Obrana;Konkurz;Kino;alcohol
Civilní Obrana;Konkurz;Sem takovej;alcohol
Civilní Obrana;Konkurz;Zvracel;rum
Civilní Obrana;Konkurz;Zvracel;vodka
Civilní Obrana;Konkurz;Zvracel;alcohol
Civilní Obrana;Loterie;Lehká;alcohol
Civilní Obrana;Loterie;Máma;alcohol
Civilní Obrana;Loterie;Opilá Princezna;alcohol
Civilní Obrana;Loterie;Ruleta;alcohol
Civilní Obrana;Loterie;Ruleta;smoking
Civilní Obrana;[So:Wa]?;Bonus;wine
Civilní Obrana;[So:Wa]?;Bonus;alcohol
Civilní Obrana;[So:Wa]?;Droga;drugs
Civilní Obrana;Zlatá deska;To Dokáže Chlap;alcohol
Destroyself;4 Promile Tribut;Mikulášova pomsta;alcohol
Destroyself;Deštivá Ulice;Mikulášova pomsta;alcohol
Destroyself;Kontrolujou;Generation Next;drugs
Destroyself;Kontrolujou;Generation Next;alcohol
Destroyself;Kontrolujou;Oběť;alcohol
Destroyself;Kontrolujou;Tenkrát;beer
Destroyself;Kontrolujou;Tenkrát;cigarettes
Destroyself;Kontrolujou;Třeba Se Poštěstí;alcohol
Destroyself;Kontrolujou;Třeba Se Poštěstí;nicotine
Destroyself;Neosymbolic;Chlapík Bez Stínu;alcohol
Destroyself;Neosymbolic;Chlapík Se Stínem;alcohol
Destroyself;Neosymbolic;Dým a Čmoud;dým
Destroyself;Neosymbolic;Tuláci Řvou;alcohol
Dukla Vozovna;Cvičná jízda;18;alcohol
Dukla Vozovna;Cvičná jízda;18;smoking
Dukla Vozovna;Cvičná jízda;Dukla vozovna;alcohol
Dukla Vozovna;Cvičná jízda;Dukla vozovna;weed
Dukla Vozovna;Cvičná jízda;Proč;beer
Dukla Vozovna;Cvičná jízda;Proč;rum
Dukla Vozovna;Cvičná jízda;Proč;alcohol
Dukla Vozovna;Cvičná jízda;Trumpety;alcohol
Dukla Vozovna;Mistři!;Bijte mě do hlavy;alcohol
Dukla Vozovna;Mistři!;Bijte mě do hlavy;beer
Dukla Vozovna;Mistři!;HomoHory;beer
Dukla Vozovna;Mistři!;Hospoda volá;beer
Dukla Vozovna;Mistři!;Hospoda volá;rum
Dukla Vozovna;Mistři!;Hospoda volá;alcohol
Dukla Vozovna;Mistři!;Kovi 2;beer
Dukla Vozovna;Mistři!;Kovi 2;rum
Dukla Vozovna;Mistři!;Malý muž;alcohol
Dukla Vozovna;Mistři!;Slepice;alcohol
Dukla Vozovna;Mistři!;Tak a tak;alcohol
Dukla Vozovna;Mistři!;Tak a tak;weed
Dukla Vozovna;Mistři!;Trpaslíci;rum
Dukla Vozovna;Mistři!;Trpaslíci;slivovica
Dukla Vozovna;Mistři!;Veselá;rum
Dukla Vozovna;Mistři!;Všechno se změnilo;alcohol
Dukla Vozovna;Prášek proti smrti;Dva Němci původem ze Švýcarska;wine
Dukla Vozovna;Prášek proti smrti;Dva Němci původem ze Švýcarska;alcohol
Dukla Vozovna;Prášek proti smrti;Kapela;alcohol
Dukla Vozovna;Prášek proti smrti;Kecičky;weed
Dukla Vozovna;Prášek proti smrti;Kecičky;alcohol
Dukla Vozovna;Prášek proti smrti;Panáček;alcohol
Dukla Vozovna;Prášek proti smrti;Panáček;heroin
Dukla Vozovna;Prášek proti smrti;Pulec;wine
Dukla Vozovna;Prášek proti smrti;Pulec;beer
Dukla Vozovna;Zastávka svět;Bílá paní;beer
Dukla Vozovna;Zastávka svět;Bílá paní;rum
Dukla Vozovna;Zastávka svět;Bílá vdova;weed
Dukla Vozovna;Zastávka svět;Bílá vdova;marijuana
Dukla Vozovna;Zastávka svět;Dechovka;alcohol
Dukla Vozovna;Zastávka svět;Dechovka;beer
Dukla Vozovna;Zastávka svět;Kytka;weed
